sample,time_s,Fx,Fy,Fz,Mx,My,Mz,COP_AP,COP_ML,fs
0,0.000,0.956924,1.620805,687.609793,0.194497,-0.114831,0.000000,-41.520276,11.502236,1000
1,0.001,0.977691,1.626254,687.661878,0.195150,-0.117323,0.000170,-41.499012,11.507313,1000
2,0.002,0.998436,1.631686,687.713933,0.195802,-0.119812,0.000339,-41.477755,11.512384,1000
3,0.003,1.019157,1.637100,687.765944,0.196452,-0.122299,0.000509,-41.456507,11.517449,1000
4,0.004,1.039851,1.642495,687.817892,0.197099,-0.124782,0.000679,-41.435267,11.522507,1000
5,0.005,1.060515,1.647870,687.869763,0.197744,-0.127262,0.000848,-41.414036,11.527558,1000
6,0.006,1.081145,1.653224,687.921540,0.198387,-0.129737,0.001018,-41.392816,11.532602,1000
7,0.007,1.101740,1.658556,687.973207,0.199027,-0.132209,0.001187,-41.371606,11.537639,1000
8,0.008,1.122296,1.663866,688.024747,0.199664,-0.134676,0.001357,-41.350407,11.542667,1000
9,0.009,1.142810,1.669151,688.076145,0.200298,-0.137137,0.001526,-41.329220,11.547688,1000
10,0.010,1.163279,1.674412,688.127384,0.200929,-0.139594,0.001696,-41.308046,11.552700,1000
11,0.011,1.183701,1.679647,688.178448,0.201558,-0.142044,0.001865,-41.286885,11.557703,1000
12,0.012,1.204073,1.684854,688.229322,0.202183,-0.144489,0.002034,-41.265738,11.562698,1000
13,0.013,1.224391,1.690035,688.279989,0.202804,-0.146927,0.002203,-41.244606,11.567683,1000
14,0.014,1.244653,1.695186,688.330434,0.203422,-0.149358,0.002373,-41.223488,11.572659,1000
15,0.015,1.264857,1.700307,688.380641,0.204037,-0.151783,0.002542,-41.202387,11.577624,1000
16,0.016,1.284998,1.705398,688.430594,0.204648,-0.154200,0.002711,-41.181302,11.582580,1000
17,0.017,1.305075,1.710457,688.480279,0.205255,-0.156609,0.002880,-41.160235,11.587525,1000
18,0.018,1.325084,1.715484,688.529678,0.205858,-0.159010,0.003048,-41.139185,11.592459,1000
19,0.019,1.345023,1.720477,688.578778,0.206457,-0.161403,0.003217,-41.118154,11.597383,1000
20,0.020,1.364889,1.725435,688.627562,0.207052,-0.163787,0.003386,-41.097142,11.602294,1000
21,0.021,1.384680,1.730358,688.676017,0.207643,-0.166162,0.003554,-41.076150,11.607195,1000
22,0.022,1.404391,1.735244,688.724126,0.208229,-0.168527,0.003723,-41.055178,11.612083,1000
23,0.023,1.424021,1.740092,688.771876,0.208811,-0.170883,0.003891,-41.034228,11.616959,1000
24,0.024,1.443568,1.744903,688.819250,0.209388,-0.173228,0.004059,-41.013299,11.621823,1000
25,0.025,1.463027,1.749674,688.866236,0.209961,-0.175563,0.004227,-40.992393,11.626674,1000
26,0.026,1.482396,1.754404,688.912818,0.210528,-0.177888,0.004395,-40.971510,11.631512,1000
27,0.027,1.501674,1.759093,688.958982,0.211091,-0.180201,0.004563,-40.950651,11.636336,1000
28,0.028,1.520856,1.763740,689.004715,0.211649,-0.182503,0.004730,-40.929816,11.641147,1000
29,0.029,1.539941,1.768344,689.050001,0.212201,-0.184793,0.004898,-40.909006,11.645943,1000
30,0.030,1.558926,1.772904,689.094829,0.212749,-0.187071,0.005065,-40.888221,11.650726,1000
31,0.031,1.577807,1.777419,689.139183,0.213290,-0.189337,0.005232,-40.867464,11.655494,1000
32,0.032,1.596583,1.781888,689.183051,0.213827,-0.191590,0.005399,-40.846733,11.660247,1000
33,0.033,1.615251,1.786310,689.226420,0.214357,-0.193830,0.005566,-40.826029,11.664985,1000
34,0.034,1.633809,1.790685,689.269276,0.214882,-0.196057,0.005732,-40.805354,11.669708,1000
35,0.035,1.652253,1.795010,689.311607,0.215401,-0.198270,0.005899,-40.784708,11.674415,1000
36,0.036,1.670581,1.799286,689.353400,0.215914,-0.200470,0.006065,-40.764092,11.679105,1000
37,0.037,1.688791,1.803512,689.394644,0.216421,-0.202655,0.006231,-40.743505,11.683780,1000
38,0.038,1.706880,1.807686,689.435325,0.216922,-0.204826,0.006397,-40.722950,11.688438,1000
39,0.039,1.724846,1.811808,689.475432,0.217417,-0.206982,0.006563,-40.702426,11.693080,1000
40,0.040,1.742686,1.815877,689.514953,0.217905,-0.209122,0.006728,-40.681934,11.697704,1000
41,0.041,1.760398,1.819892,689.553877,0.218387,-0.211248,0.006893,-40.661474,11.702311,1000
42,0.042,1.777980,1.823852,689.592192,0.218862,-0.213358,0.007058,-40.641048,11.706900,1000
43,0.043,1.795429,1.827756,689.629888,0.219331,-0.215451,0.007223,-40.620657,11.711471,1000
44,0.044,1.812742,1.831603,689.666954,0.219792,-0.217529,0.007388,-40.600299,11.716024,1000
45,0.045,1.829918,1.835393,689.703380,0.220247,-0.219590,0.007552,-40.579977,11.720558,1000
46,0.046,1.846954,1.839125,689.739154,0.220695,-0.221634,0.007716,-40.559691,11.725073,1000
47,0.047,1.863848,1.842797,689.774268,0.221136,-0.223662,0.007880,-40.539441,11.729570,1000
48,0.048,1.880597,1.846409,689.808711,0.221569,-0.225672,0.008043,-40.519229,11.734047,1000
49,0.049,1.897200,1.849961,689.842474,0.221995,-0.227664,0.008207,-40.499054,11.738504,1000
50,0.050,1.913654,1.853450,689.875548,0.222414,-0.229639,0.008370,-40.478918,11.742941,1000
51,0.051,1.929957,1.856877,689.907924,0.222825,-0.231595,0.008533,-40.458820,11.747358,1000
52,0.052,1.946107,1.860241,689.939593,0.223229,-0.233533,0.008695,-40.438762,11.751755,1000
53,0.053,1.962102,1.863540,689.970548,0.223625,-0.235452,0.008857,-40.418744,11.756131,1000
54,0.054,1.977940,1.866775,690.000779,0.224013,-0.237353,0.009019,-40.398768,11.760485,1000
55,0.055,1.993618,1.869943,690.030279,0.224393,-0.239234,0.009181,-40.378832,11.764819,1000
56,0.056,2.009135,1.873045,690.059041,0.224765,-0.241096,0.009342,-40.358939,11.769131,1000
57,0.057,2.024489,1.876080,690.087058,0.225130,-0.242939,0.009503,-40.339088,11.773421,1000
58,0.058,2.039677,1.879047,690.114322,0.225486,-0.244761,0.009664,-40.319280,11.777688,1000
59,0.059,2.054698,1.881944,690.140827,0.225833,-0.246564,0.009824,-40.299517,11.781933,1000
60,0.060,2.069551,1.884772,690.166566,0.226173,-0.248346,0.009985,-40.279797,11.786156,1000
61,0.061,2.084232,1.887529,690.191535,0.226504,-0.250108,0.010144,-40.260123,11.790356,1000
62,0.062,2.098740,1.890215,690.215726,0.226826,-0.251849,0.010304,-40.240495,11.794532,1000
63,0.063,2.113074,1.892830,690.239135,0.227140,-0.253569,0.010463,-40.220912,11.798685,1000
64,0.064,2.127232,1.895371,690.261756,0.227445,-0.255268,0.010622,-40.201377,11.802813,1000
65,0.065,2.141212,1.897839,690.283585,0.227741,-0.256945,0.010780,-40.181889,11.806918,1000
66,0.066,2.155012,1.900233,690.304617,0.228028,-0.258601,0.010939,-40.162448,11.810999,1000
67,0.067,2.168631,1.902552,690.324849,0.228306,-0.260236,0.011096,-40.143057,11.815055,1000
68,0.068,2.182067,1.904795,690.344276,0.228575,-0.261848,0.011254,-40.123714,11.819086,1000
69,0.069,2.195318,1.906963,690.362894,0.228836,-0.263438,0.011411,-40.104422,11.823091,1000
70,0.070,2.208384,1.909053,690.380702,0.229086,-0.265006,0.011568,-40.085180,11.827072,1000
71,0.071,2.221262,1.911066,690.397695,0.229328,-0.266551,0.011724,-40.065988,11.831026,1000
72,0.072,2.233951,1.913000,690.413871,0.229560,-0.268074,0.011880,-40.046848,11.834955,1000
73,0.073,2.246449,1.914855,690.429229,0.229783,-0.269574,0.012035,-40.027760,11.838858,1000
74,0.074,2.258755,1.916631,690.443765,0.229996,-0.271051,0.012191,-40.008725,11.842734,1000
75,0.075,2.270869,1.918326,690.457479,0.230199,-0.272504,0.012345,-39.989743,11.846583,1000
76,0.076,2.282787,1.919941,690.470370,0.230393,-0.273934,0.012500,-39.970814,11.850405,1000
77,0.077,2.294510,1.921474,690.482436,0.230577,-0.275341,0.012654,-39.951940,11.854200,1000
78,0.078,2.306036,1.922925,690.493677,0.230751,-0.276724,0.012807,-39.933121,11.857968,1000
79,0.079,2.317364,1.924293,690.504092,0.230915,-0.278084,0.012961,-39.914357,11.861707,1000
80,0.080,2.328492,1.925577,690.513682,0.231069,-0.279419,0.013113,-39.895649,11.865419,1000
81,0.081,2.339420,1.926778,690.522448,0.231213,-0.280730,0.013266,-39.876997,11.869102,1000
82,0.082,2.350146,1.927894,690.530389,0.231347,-0.282018,0.013418,-39.858403,11.872757,1000
83,0.083,2.360669,1.928925,690.537507,0.231471,-0.283280,0.013569,-39.839866,11.876383,1000
84,0.084,2.370989,1.929870,690.543803,0.231584,-0.284519,0.013720,-39.821388,11.879980,1000
85,0.085,2.381104,1.930730,690.549279,0.231688,-0.285732,0.013871,-39.802968,11.883547,1000
86,0.086,2.391013,1.931502,690.553937,0.231780,-0.286922,0.014021,-39.784607,11.887085,1000
87,0.087,2.400716,1.932187,690.557779,0.231862,-0.288086,0.014171,-39.766306,11.890593,1000
88,0.088,2.410212,1.932784,690.560809,0.231934,-0.289225,0.014320,-39.748065,11.894071,1000
89,0.089,2.419499,1.933292,690.563028,0.231995,-0.290340,0.014469,-39.729885,11.897519,1000
90,0.090,2.428578,1.933712,690.564441,0.232045,-0.291429,0.014618,-39.711766,11.900936,1000
91,0.091,2.437447,1.934042,690.565050,0.232085,-0.292494,0.014765,-39.693709,11.904322,1000
92,0.092,2.446105,1.934283,690.564861,0.232114,-0.293533,0.014913,-39.675715,11.907678,1000
93,0.093,2.454553,1.934433,690.563876,0.232132,-0.294546,0.015060,-39.657783,11.911002,1000
94,0.094,2.462789,1.934492,690.562102,0.232139,-0.295535,0.015206,-39.639915,11.914294,1000
95,0.095,2.470813,1.934460,690.559541,0.232135,-0.296498,0.015352,-39.622110,11.917554,1000
96,0.096,2.478624,1.934336,690.556201,0.232120,-0.297435,0.015498,-39.604370,11.920783,1000
97,0.097,2.486222,1.934120,690.552086,0.232094,-0.298347,0.015643,-39.586695,11.923979,1000
98,0.098,2.493607,1.933812,690.547203,0.232057,-0.299233,0.015787,-39.569085,11.927143,1000
99,0.099,2.500778,1.933410,690.541556,0.232009,-0.300093,0.015931,-39.551541,11.930273,1000
100,0.100,2.507734,1.932915,690.535154,0.231950,-0.300928,0.016075,-39.534064,11.933371,1000
101,0.101,2.514476,1.932326,690.528002,0.231879,-0.301737,0.016218,-39.516653,11.936436,1000
102,0.102,2.521003,1.931643,690.520107,0.231797,-0.302520,0.016360,-39.499310,11.939467,1000
103,0.103,2.527314,1.930865,690.511477,0.231704,-0.303278,0.016502,-39.482034,11.942464,1000
104,0.104,2.533411,1.929992,690.502119,0.231599,-0.304009,0.016644,-39.464827,11.945428,1000
105,0.105,2.539292,1.929024,690.492042,0.231483,-0.304715,0.016784,-39.447688,11.948357,1000
106,0.106,2.544957,1.927960,690.481253,0.231355,-0.305395,0.016925,-39.430619,11.951252,1000
107,0.107,2.550407,1.926801,690.469761,0.231216,-0.306049,0.017065,-39.413620,11.954112,1000
108,0.108,2.555641,1.925544,690.457574,0.231065,-0.306677,0.017204,-39.396690,11.956937,1000
109,0.109,2.560660,1.924192,690.444702,0.230903,-0.307279,0.017343,-39.379832,11.959727,1000
110,0.110,2.565463,1.922742,690.431155,0.230729,-0.307856,0.017481,-39.363044,11.962482,1000
111,0.111,2.570050,1.921195,690.416940,0.230543,-0.308406,0.017618,-39.346328,11.965201,1000
112,0.112,2.574423,1.919551,690.402069,0.230346,-0.308931,0.017755,-39.329684,11.967884,1000
113,0.113,2.578580,1.917809,690.386551,0.230137,-0.309430,0.017892,-39.313113,11.970532,1000
114,0.114,2.582523,1.915968,690.370396,0.229916,-0.309903,0.018028,-39.296614,11.973143,1000
115,0.115,2.586250,1.914030,690.353616,0.229684,-0.310350,0.018163,-39.280188,11.975718,1000
116,0.116,2.589764,1.911993,690.336221,0.229439,-0.310772,0.018298,-39.263837,11.978256,1000
117,0.117,2.593064,1.909857,690.318222,0.229183,-0.311168,0.018432,-39.247559,11.980757,1000
118,0.118,2.596150,1.907622,690.299630,0.228915,-0.311538,0.018565,-39.231356,11.983221,1000
119,0.119,2.599023,1.905288,690.280457,0.228635,-0.311883,0.018698,-39.215229,11.985648,1000
120,0.120,2.601684,1.902855,690.260714,0.228343,-0.312202,0.018831,-39.199176,11.988037,1000
121,0.121,2.604132,1.900322,690.240414,0.228039,-0.312496,0.018963,-39.183200,11.990388,1000
122,0.122,2.606370,1.897690,690.219569,0.227723,-0.312764,0.019094,-39.167300,11.992702,1000
123,0.123,2.608396,1.894958,690.198191,0.227395,-0.313007,0.019224,-39.151476,11.994977,1000
124,0.124,2.610212,1.892125,690.176292,0.227055,-0.313225,0.019354,-39.135730,11.997214,1000
125,0.125,2.611818,1.889193,690.153886,0.226703,-0.313418,0.019483,-39.120061,11.999412,1000
126,0.126,2.613216,1.886160,690.130986,0.226339,-0.313586,0.019612,-39.104470,12.001571,1000
127,0.127,2.614406,1.883027,690.107604,0.225963,-0.313729,0.019740,-39.088958,12.003692,1000
128,0.128,2.615388,1.879793,690.083755,0.225575,-0.313847,0.019868,-39.073524,12.005773,1000
129,0.129,2.616164,1.876459,690.059451,0.225175,-0.313940,0.019994,-39.058169,12.007815,1000
130,0.130,2.616734,1.873025,690.034707,0.224763,-0.314008,0.020121,-39.042893,12.009817,1000
131,0.131,2.617100,1.869489,690.009536,0.224339,-0.314052,0.020246,-39.027698,12.011779,1000
132,0.132,2.617262,1.865853,689.983952,0.223902,-0.314071,0.020371,-39.012582,12.013702,1000
133,0.133,2.617222,1.862116,689.957970,0.223454,-0.314067,0.020495,-38.997548,12.015584,1000
134,0.134,2.616980,1.858278,689.931604,0.222993,-0.314038,0.020619,-38.982594,12.017425,1000
135,0.135,2.616538,1.854340,689.904869,0.222521,-0.313985,0.020742,-38.967721,12.019226,1000
136,0.136,2.615896,1.850300,689.877779,0.222036,-0.313907,0.020864,-38.952930,12.020987,1000
137,0.137,2.615056,1.846160,689.850349,0.221539,-0.313807,0.020985,-38.938221,12.022706,1000
138,0.138,2.614019,1.841919,689.822594,0.221030,-0.313682,0.021106,-38.923595,12.024384,1000
139,0.139,2.612786,1.837577,689.794529,0.220509,-0.313534,0.021227,-38.909051,12.026021,1000
140,0.140,2.611358,1.833134,689.766170,0.219976,-0.313363,0.021346,-38.894590,12.027616,1000
141,0.141,2.609737,1.828591,689.737531,0.219431,-0.313168,0.021465,-38.880213,12.029169,1000
142,0.142,2.607925,1.823946,689.708628,0.218874,-0.312951,0.021583,-38.865919,12.030681,1000
